iter	Passed	Remaining
0	0	69
1	0	60
2	1	53
3	1	50
4	1	48
5	2	48
6	2	48
7	2	47
8	2	46
9	3	45
10	3	45
11	3	44
12	4	43
13	4	43
14	4	42
15	4	41
16	5	41
17	5	41
18	5	40
19	6	40
20	6	40
21	6	39
22	7	39
23	7	38
24	7	38
25	8	38
26	8	37
27	8	37
28	8	36
29	9	36
30	9	36
31	9	35
32	10	35
33	10	35
34	10	34
35	10	34
36	11	34
37	11	34
38	11	33
39	12	33
40	12	32
41	12	32
42	12	32
43	13	31
44	13	31
45	13	31
46	14	31
47	14	30
48	14	30
49	15	30
50	15	30
51	15	29
52	16	29
53	16	29
54	16	29
55	17	28
56	17	28
57	17	28
58	18	27
59	18	27
60	19	27
61	19	27
62	20	27
63	20	27
64	20	27
65	20	26
66	21	26
67	21	26
68	21	25
69	22	25
70	22	25
71	22	24
72	23	24
73	23	24
74	23	23
75	24	23
76	24	23
77	24	22
78	24	22
79	25	22
80	25	21
81	25	21
82	26	21
83	26	20
84	26	20
85	27	20
86	27	20
87	28	19
88	28	19
89	28	19
90	29	19
91	29	18
92	29	18
93	30	18
94	30	17
95	30	17
96	31	17
97	31	16
98	31	16
99	32	16
100	32	15
101	32	15
102	33	15
103	33	14
104	33	14
105	34	14
106	34	13
107	34	13
108	35	13
109	35	12
110	35	12
111	36	12
112	36	11
113	36	11
114	37	11
115	37	11
116	37	10
117	38	10
118	38	9
119	38	9
120	38	9
121	39	8
122	39	8
123	39	8
124	40	8
125	40	7
126	40	7
127	41	7
128	41	6
129	41	6
130	42	6
131	42	5
132	42	5
133	43	5
134	43	4
135	43	4
136	44	4
137	44	3
138	44	3
139	45	3
140	45	2
141	45	2
142	45	2
143	46	1
144	46	1
145	46	1
146	47	0
147	47	0
148	47	0
149	48	0
